max_date,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
2020-05-20,2020-03-24,4889.1346047415755,6768.478295694653,3772.4887073638056,1242238.265699983,140.18910884904068,54.112680229331914,70.89839768062012,37.60995400580261,438.9129428208387,63.818738232649274,55060.37981661162,220925.8744465184,19851.70658900675,5975.8094186013395,17278.424676343722,2392.6155159221353,46097.97456976006,164189.07317651395,21487.35623971487,TRUE,0.7146094772940708,0.500253739228053,1.0114322893643,2.0998260624101244,2.0748340224418196,2.1250179927183632,365746.5306127573,3868916.6327787014,49
2020-05-20,2020-03-25,5788.565328356435,8048.493507645604,4492.168540196261,1296130.2538344231,179.64222550745166,72.41282801107025,93.07312208515776,50.86377294907713,554.5418526272636,85.50884678468714,50028.20269130436,205758.50839145196,17973.166272502545,6943.289516983628,19567.756763976104,2827.6903732462433,43526.796253031585,154331.05623317277,19861.41273889019,TRUE,0.6904026187851791,0.496618234381731,0.966550890127888,1.8672072687191466,1.8459693039533525,1.888607508139241,390511.2110144722,4021165.931490396,50
2020-05-20,2020-03-26,6741.572555218847,9359.723849050708,5185.520132062345,1345042.736881611,223.84176170686038,94.94960307183392,120.60564235434444,66.91535916446928,685.1005581233533,109.96620388930901,46223.10316282558,196213.73532935674,16342.374817285054,7831.286579165317,21831.671965706475,3304.1810056133354,40445.701073708915,145046.6639927478,18192.11671573887,TRUE,0.671391917491958,0.488107696626475,0.94756863817132,1.6772134475126192,1.6587434053319994,1.6958200923441966,406195.5344234677,4155990.5244503664,51
2020-05-20,2020-03-27,7681.239628086881,10668.93371236133,5906.326304892138,1386119.976388942,275.06981982684636,122.08541715970236,153.24988790189838,86.15313523113068,827.1076837559647,140.5177360795194,41990.75948402752,178152.88507544636,14916.788828940471,8658.751273443762,23875.571357653876,3659.3916436210484,37637.76667750513,136341.2304323172,16203.68299798399,TRUE,0.6685567840441802,0.477768443199145,0.940597529423972,1.5661119461034156,1.5494871554098129,1.582855227773623,419592.1443028451,4293803.773306819,52
2020-05-20,2020-03-28,8559.263759994286,11818.587697120647,6566.722052486148,1427032.2739539607,330.9226309243925,153.584402266798,191.31455158850378,109.77406795076861,972.095222840331,174.7451694218422,39431.21752980434,161887.25358172023,14139.005006686288,9312.113270621161,25684.833825706133,4028.8501257699336,34683.49837206301,126354.07300034905,14703.681225707493,TRUE,0.6696538506780373,0.47377988398714,0.933339239861071,1.4673163279615973,1.452145291452786,1.4825926628902497,432770.86692280165,4463193.415461808,53
2020-05-20,2020-03-29,9369.796669585603,12950.248020005029,7199.649746223371,1462358.6363112614,390.1498930198691,189.04185729858813,234.77841626370767,137.5786474592357,1120.26140732582,211.3939238696131,37142.1154762894,151549.480190343,13188.464291153929,9873.722303007231,26906.104733568558,4424.024411936432,31975.457108101924,119758.59278750361,13396.788721192042,TRUE,0.6806573288253341,0.462653545868039,0.95426485107054,1.4327863260160603,1.4185289382647466,1.447138927625182,465227.2046832596,4628606.052139799,54
2020-05-20,2020-03-30,10026.808172218953,13992.17895603041,7766.405236740623,1492041.441420449,449.05073034530716,228.19671688250895,283.38719108821454,167.7357979472324,1267.2796975034516,254.2272595552517,35097.8758121024,146630.8049758379,12733.664296797695,10308.153665789176,26878.493583038813,4736.198677228485,29473.191357860578,111696.76714663877,12373.593616053295,TRUE,0.6929597559977887,0.474668471251003,0.98701400023371,1.330798711527251,1.3176476944238613,1.3440369429725645,458322.51497027744,4710703.679329999,55
2020-05-20,2020-03-31,10604.034839101992,14865.229115240629,8196.337665706476,1528985.5175694143,507.95347352677027,271.1997155492581,335.2019947320647,200.82193565590416,1409.0305646157908,299.1934815863316,33687.28213325456,138285.4202694165,12138.732458717986,10530.585770539663,27506.93937438541,4938.973566555586,27192.898483187982,101589.10653010153,11394.035224035146,TRUE,0.7142103133623908,0.489809686997646,1.0380485110522,1.262577985196066,1.2502551126279824,1.2749815648558975,470580.3522400862,4821925.804728977,56
2020-05-20,2020-04-01,11066.169332112842,15621.467240875714,8509.16392231314,1560302.0817512078,563.9874198754276,317.63394897909734,390.28102597665844,234.26829610504,1562.5866845693022,343.06369829804066,32190.528375729584,134478.28069602986,11464.503887556722,10679.492889871333,27667.614133925897,5017.489248347394,25221.757991699516,92748.12649232123,10630.07250612356,TRUE,0.7384825088110236,0.498528825139699,1.06722104683071,1.2832376883799614,1.2711958382153377,1.2953553466357386,482343.57654452504,4940927.427954166,57
2020-05-20,2020-04-02,11402.444299769078,16092.782683503645,8696.052469260601,1582916.677940894,621.7155659384684,364.55175871654876,445.6838614255415,270.2830336801354,1681.8711741873394,385.180087013907,30880.49810776929,130530.46119517094,11101.194655634163,10690.764307502384,27758.723896836847,4986.564813399094,23398.0046857758,87424.29024363759,9837.467162670044,TRUE,0.7670997173991547,0.512182508487356,1.09234926689143,1.3229905484136864,1.3110920695594437,1.3349607981854448,493467.4394959527,5013567.622661876,58
