state,.progress,date,cases.fitted,cases.fitted.hi,cases.fitted.lo,cum.incidence,deaths,deaths.fitted,deaths.fitted.hi,deaths.fitted.lo,deaths.hi,deaths.lo,infections,infections.hi,infections.lo,severe,severe.hi,severe.lo,symptomatic,symptomatic.hi,symptomatic.lo,data.available,Rt,Rt.lo,Rt.hi,NaiveRt,NaiveRt.lo,NaiveRt.hi,cum.incidence.lo,cum.incidence.hi,index
Illinois,TRUE,2020-02-15,0.021804878789341127,0.24627136427092214,0.0022364974476957074,65.86076044588214,7.188105334021383e-4,7.931386954970925e-5,0.0012985865494995101,8.36826328204905e-6,0.005375087662984487,5.955732658767603e-5,9.384532077431645,52.001861540960434,2.0794338193828787,0.0967898117594697,0.9803372637621155,0.007948516548737171,3.4722271473648494,19.682253374144686,0.496188115945858,FALSE,1.724622514591143,0.5663709100207366,4.319389561552443,NA,NA,NA,4.804797846184366,310.6577330295719,11
Illinois,TRUE,2020-02-16,0.03440349577254469,0.35418827861601665,0.004268177344169986,79.49963791336708,0.0012209861902522231,1.5755007565741553e-4,0.0024597973258305697,1.7418981701071757e-5,0.008849382762454054,1.0469704649298701e-4,10.242892012396807,52.86063102960676,2.720024499864358,0.13984012577369961,1.3574857283202992,0.01217949816705995,3.814679378354296,21.01052109507394,0.6153763212089749,FALSE,1.7454330156821045,0.5986018169634473,4.155417411183332,NA,NA,NA,6.266571472994716,338.95411309088183,12
Illinois,TRUE,2020-02-17,0.0515089984470429,0.45464097739306963,0.007075429292478658,93.45511424142265,0.0019385191206698757,2.948263980293495e-4,0.004062281673707382,3.36542353338912e-5,0.01360881768811863,1.7311464913717097e-4,11.884600714717779,55.151580588452696,3.0295924476697604,0.18798043622858898,1.7430185011932615,0.0177446945867865,4.350770189184982,22.850494426413277,0.7202114503403447,FALSE,1.7874363140836158,0.6496798917806459,4.086338987079518,NA,NA,NA,8.301400368247467,385.7791358435325,13
Illinois,TRUE,2020-02-18,0.07367267999709833,0.6049534701681882,0.009998930110651356,109.66356595294417,0.002903470944153914,5.076728222572727e-4,0.006472515616533846,6.072808226407116e-5,0.019752408880328996,2.7198978926667875e-4,14.186444241476114,57.171768737544724,3.5425996663102883,0.2488900246563646,2.1935486607788146,0.025091366150326068,4.928356199256623,24.12941899154795,0.8997970378810584,FALSE,1.844920312428863,0.7019077989832037,4.036626647766511,NA,NA,NA,11.042032512914256,438.9423280462739,14
Illinois,TRUE,2020-02-19,0.10119699266349161,0.7317942427478441,0.014428805792348448,127.41953241094225,0.004205790097287668,8.128461328692773e-4,0.00948547995245351,1.0212737557400724e-4,0.02818087759028606,4.094144409151296e-4,16.27031991807131,67.11870960532076,4.354688682222667,0.31577270545929603,2.4803650634126697,0.03366701393195737,5.549192453432336,26.131441021163774,1.1110453379625536,FALSE,1.9145793263661808,0.754758608013937,3.9121812906290776,NA,NA,NA,14.532736361295544,502.6430585924509,15
Illinois,TRUE,2020-02-20,0.13458399846021435,0.9034243664768138,0.020572482061252124,149.87450818692508,0.005783480199305838,0.0012210781154493398,0.012932642019625823,1.644798415708674e-4,0.03999619385480899,5.94456035447093e-4,20.05117242045381,79.0906179882222,5.417112246933556,0.38300901617766353,2.7170688595919086,0.043694912961357496,6.209600311473002,27.147174802256895,1.3488429319320068,FALSE,2.001993739347419,0.8066308948465776,3.9165123954653516,NA,NA,NA,19.311879799987317,571.5628646358762,16
Illinois,TRUE,2020-02-21,0.17205292736412786,1.111348591622415,0.02815471356017997,175.94987929438335,0.007701688103599451,0.0018144508353782327,0.01693394944428023,2.454495953674089e-4,0.054901117951146786,8.374418452410542e-4,24.036384287931583,95.38259312165056,6.9541506852092345,0.4588125415413732,2.9422029843371917,0.0561193814500766,7.125985786906849,29.048889977495733,1.6633654513704714,FALSE,2.1055024223790295,0.9047163403244186,3.922762840688921,NA,NA,NA,25.51412646907684,631.2372556675167,17
Illinois,TRUE,2020-02-22,0.21952091366248155,1.3158613132255108,0.03726382702225621,207.091477939843,0.009702216841906483,0.0025352888878139887,0.021407995199711212,3.569146047760243e-4,0.07275404019579251,0.001151819898004535,30.07365075096827,127.0162401727743,8.941899154621499,0.5371203303308212,3.032979859637142,0.06916726197994608,7.841931774234385,32.452929752362756,2.000121525683303,FALSE,2.2257401356173423,1.0038766006215294,3.8817165495255797,NA,NA,NA,34.21399830706335,735.2816659370164,18
Illinois,TRUE,2020-02-23,0.27596611805390553,1.4945866481735854,0.05153675270650969,249.8415082056958,0.012369278622008331,0.003532977403020986,0.026440792301792047,5.159414701781964e-4,0.08895350489984914,0.0015756803993729935,37.339632736002095,174.9586731942184,11.871000153418784,0.6094472595742902,3.086602863783517,0.08269119003992041,9.53135625319347,34.88176147179021,2.575162636476348,FALSE,2.361508230569737,1.1888211749714563,3.9994554417591326,NA,NA,NA,46.86773720930981,884.7056367060641,19
Illinois,TRUE,2020-02-24,0.3357956589249921,1.621272137673925,0.06898706594551704,299.9183551733719,0.015400666511098074,0.004771899614195402,0.03309505373176978,7.260485032354101e-4,0.10210482279497922,0.0021223144032724017,47.83140548407552,236.40203866384516,15.223180064962373,0.7025539592895382,3.2139372756800597,0.09889624715506365,11.69163309169166,43.88255360994968,3.396614505065152,FALSE,2.513126736177359,1.3718088699259723,4.019091556012269,NA,NA,NA,57.406745288243336,1025.981035451206,20
Illinois,TRUE,2020-02-25,0.40452555762377335,1.7408385538128694,0.08899164289407614,361.6765964783933,0.019087120220647017,0.006242567604070068,0.040382091682899746,9.963373083544298e-4,0.11464144631237824,0.0028387388728592622,61.98181457222822,323.3788000437758,19.31651506525529,0.8217807151734837,3.4286036360862187,0.12407282211940604,13.836940491315502,51.657294958553905,4.3586066149718325,FALSE,2.6756300586541153,1.5030180975763154,4.133326031765638,NA,NA,NA,85.98338932808035,1309.7625455349755,21
Illinois,TRUE,2020-02-26,0.4791736533144863,1.8559053604919529,0.11187531041322026,444.42447653772547,0.022801978892933936,0.00781186694568399,0.046690106773486256,0.0013084948021115594,0.1274275657732314,0.0036980157053463332,81.2594388675306,438.27123535733307,25.09544168765486,0.9259013080513967,3.7334650366865807,0.1643686312678702,16.44515393518455,61.038735680252344,5.577208648897742,FALSE,2.8519201174501614,1.6304213283396778,4.211926243671048,NA,NA,NA,115.80818480843213,1685.8688513357672,22
Illinois,TRUE,2020-02-27,0.568773191651591,1.9908467626446855,0.14322418705572593,559.4531062139818,0.027312605985579885,0.009698183134446755,0.05266610315505825,0.0017040090335136457,0.1439332524874784,0.0047072445516530845,109.68319772484121,613.742422329264,32.86851505424425,1.0519749066412207,4.242429816716033,0.22029121580497926,20.74466115960285,76.8067417720226,7.308713954202578,FALSE,3.0371078390942174,1.7294835331129068,4.37331510643151,NA,NA,NA,144.33237063935883,2142.3782983190963,23
Illinois,TRUE,2020-02-28,0.6677087967421786,2.1420270926698946,0.18137038055497073,719.9575187085848,0.032149665807653625,0.012078820546182437,0.05837764942224301,0.00235280588596217,0.15939752366999255,0.005906218814322996,154.82374098499952,854.162237747142,45.09830754780541,1.207056634136046,4.720543100656986,0.2791812945507142,26.78725523421827,98.47158575282005,9.692478446719086,FALSE,3.2234157926297424,1.976546872962061,4.591363214829783,NA,NA,NA,148.65917179223453,2843.5239486993323,24
Illinois,TRUE,2020-02-29,0.7781238979852512,2.3041988759232153,0.23050948213034533,948.1141349321766,0.03694427540826991,0.014728804801383093,0.06390825945129724,0.0031655107750314434,0.17476333932075894,0.007396723201886618,219.5634359834526,1236.7839900457825,62.76903447784666,1.418020777542456,5.337223494630624,0.3456788419379156,35.13657916176793,131.6747154047251,12.533068142341236,FALSE,3.4011386029241684,2.2770291783746517,4.688681268814874,NA,NA,NA,196.63554335864592,3591.2493454620435,25
Illinois,TRUE,2020-03-01,0.9082282428143831,2.484688543473968,0.29807944744927695,1244.896080704013,0.04482294630229107,0.018221846961920786,0.06962020171536214,0.003926103352060529,0.18367968312800032,0.009363826479619737,311.80144968781974,1741.8299755449511,89.58618407572263,1.6451364567698938,6.128634872368568,0.4186681422183388,46.45407528772418,179.4803127397521,16.309004032861882,FALSE,3.563142814924279,2.4818341002405457,4.822391236465405,NA,NA,NA,231.60569283064683,4643.944983478801,26
Illinois,TRUE,2020-03-02,1.0539994972648645,2.6915808593390755,0.3875548829104758,1708.917101653772,0.052803191828167395,0.021689321880923453,0.0754256127918577,0.004915674583618368,0.200089235040182,0.012087357566369899,454.80918132044036,2436.0922390118076,130.0716560602167,2.0190569780163345,7.349475579150974,0.5387994359430625,64.92008275006192,250.10708768943311,21.577619821059784,FALSE,3.6963358181823023,2.625025757747009,4.733965789913607,NA,NA,NA,309.3194675628502,6430.2700835441,27
Illinois,TRUE,2020-03-03,1.2469775754599681,2.9345600599869055,0.5013829162292334,2403.2187012574777,0.062059345274627226,0.025583788840867823,0.08397636877161266,0.006264774834650159,0.22807307981080682,0.01557668822601982,677.4954964975718,3349.099580132952,178.34421161930646,2.380330054679246,8.100917582800106,0.7083317820582062,91.53353290831112,362.9063361537241,29.104380542970382,FALSE,3.7859090874344457,2.8123023829387153,4.839424708431476,NA,NA,NA,425.5653287022908,8759.459677896739,28
Illinois,TRUE,2020-03-04,1.5145028110533452,3.1275169071291513,0.6742272194088528,3404.8223090173014,0.0722543922082951,0.029801311080524806,0.09411383912820646,0.007916742965117749,0.27002777219065555,0.02040307662540198,996.1958436387215,4954.925523544951,248.24597745216624,2.9081719887050497,10.183254728589326,0.9097023503228648,130.1219638920728,558.7595353316249,40.312920077584636,TRUE,3.81694322407119,2.908550821826732,4.806079795968486,NA,NA,NA,604.8808603928412,13776.057250845715,29
Illinois,TRUE,2020-03-05,1.8215568653165612,3.3824127704929623,0.9134692109594502,4899.851006961293,0.0874878333261308,0.03457445561335472,0.10501106868112367,0.010120297378254891,0.3104330712715639,0.025951778280404333,1457.7744967819513,6895.8994831467335,372.5498532019825,3.6811083481476605,13.377225143439922,1.2090615709417216,184.78800891240004,841.9377053949445,55.08429208976678,TRUE,3.7879346355469186,2.881286020180137,4.711848295171028,0.9672945151849798,0.2870924176645692,2.3094757231738487,900.6397785673485,19638.437206962648,30
Illinois,TRUE,2020-03-06,2.245913058219938,3.840872324605816,1.2593473865611062,7011.843482967042,0.10498400304247785,0.04056997377675347,0.11218030151724001,0.012915448905491476,0.34332497859420763,0.03197433250374316,2078.7020706286535,9484.123089998448,575.558839497942,4.60867787582808,18.06536729655794,1.6178428913703438,267.195902494443,1140.036705923866,79.91401003335464,TRUE,3.6997087302248484,2.853080095557415,4.664464114792045,3.417719348240432,1.9561659937313964,5.473196505487698,1354.9187045263752,26893.027832885455,31
Illinois,TRUE,2020-03-07,2.7852826928351737,4.457814879542235,1.7249218444884817,9966.562180067065,0.12536803800851165,0.047724171316279575,0.12177547176469938,0.017239154552192288,0.4290745635678833,0.04186395795141773,2948.2915457493427,12411.610539480007,883.2866735291533,6.108658021591052,25.287164902855167,2.1424145733943716,386.98161931505706,1516.2858274540058,115.22731669324212,TRUE,3.552153258270768,2.6319574062954976,4.664798433655138,3.0032011096447233,1.7189123167904192,4.80937963119959,1877.8691201256738,37115.081506350136,32
